,news_source,is_title,text,topic,date,link,medium,labels
6887,Daily Mail,0,He was eliminated in the audition round that season but returned the show in season 12 making it through to the Judge Cuts round before being cast off in the quarterfinals.,corona,2021-12-03T18:55:47+0000,https://www.dailymail.co.uk/tvshowbiz/article-10272679/Americas-Got-Talent-musician-Jay-Jay-Phillips-dead-30-COVID-19.html?ito=social-facebook,article,0
7663,BBC News,0,"But the UK currently bans foreign holidays, so there will be no rapid revival of Spanish tourism.",corona,2021-03-23T18:23:50+0000,https://www.bbc.com/news/world-europe-56486732,article,1
2285,Daily Mail,0,"Meanwhile mourners including Petito's family, friends and hundreds of other people who'd never met her but were personally moved by her story, packed a funeral home in Long Island to grieve the 22-year-old woman whose life of adventure was tragically cut short.",crime,2021-09-27T00:31:56+0100,https://www.dailymail.co.uk/news/article-10031047/Utah-cops-told-Brian-Laundrie-hit-Gabby-Petito-pulling-couple-over.html?ito=social-facebook,article,1
4285,Sky News,0,"On Sunday, Ireland temporarily suspended the shot ""out of an abundance of caution"" after reports from Norway of serious blood clotting in some recipients there.",corona,2021-03-15T23:51:00+0000,https://news.sky.com/story/covid-19-germany-suspends-oxford-astrazeneca-coronavirus-vaccine-amid-blood-clot-concerns-12246936,article,0
6731,Sky News,0,"Revenues increased by 5% to £357.5m but additional cost pressures and restrictions plus an one-off accounting charge reflecting the squeeze on the business pushed the company into the red for the year, compared to a £44.1m profit a year earlier.",corona,2021-03-17T17:22:00+0000,https://news.sky.com/story/covid-19-pandemic-strain-pushes-dignity-into-the-red-despite-record-year-for-funerals-12248466,article,0
5702,Metro,0,‘I would urge everyone to go to book your jabs now and join the tens of millions who have already been protected.’,corona,2021-06-18T08:50:00+0000,https://metro.co.uk/2021/06/18/restrictions-could-end-on-july-5-if-covid-vaccine-success-continues-14792359/?ito=facebook|social|metroukfacebook,article,1
4045,Daily Mail,0,They're going towards Main Street.,crime,2021-09-27T00:31:56+0100,https://www.dailymail.co.uk/news/article-10031047/Utah-cops-told-Brian-Laundrie-hit-Gabby-Petito-pulling-couple-over.html?ito=social-facebook,article,0
2766,BBC News,0,"This is a nice quiet area, it happened in a church, there's a school just up the road.",crime,2021-10-15T19:08:06+0000,https://www.bbc.com/news/uk-england-essex-58928927,article,1
6300,Sky News,0,"""The Angiolini Inquiry will shine a light on the failings that allowed a serving police officer to abuse his power in such a horrific manner and make recommendations for change within policing.",crime,2021-11-22T16:53:00+0000,https://news.sky.com/story/sarah-everard-ex-solicitor-general-to-lead-inquiry-into-policing-failures-over-rape-and-murder-by-serving-officer-12475819,article,0
912,Sky News,0,"Dame Elish was solicitor general for Scotland from 2001 to 2006 and served as Lord Advocate of Scotland between 2006 and 2011 before becoming principal at St Hugh's College, Oxford, and pro-vice-chancellor at the University of Oxford.",crime,2021-11-22T16:53:00+0000,https://news.sky.com/story/sarah-everard-ex-solicitor-general-to-lead-inquiry-into-policing-failures-over-rape-and-murder-by-serving-officer-12475819,article,0
6025,Metro,0,"Riding on a stolen moped, the pair entered a quiet cul-de-sac in Tottenham, north London, at around 8pm and went to Mr Gordon’s home by mistake.",crime,2021-06-08T11:40:00+0000,https://metro.co.uk/2021/06/08/gunmen-jailed-for-shooting-autistic-man-dead-after-getting-wrong-house-14735611/?ito=facebook|social|metroukfacebook,article,0
4924,BBC News,0,"The father and son later told police they believed the jogger resembled the suspect in a series of alleged break-ins and accused Mr Arbery of attacking the younger McMichael while they attempted to make a ""citizen's arrest"".",crime,2021-11-05T00:03:50+0000,https://www.bbc.com/news/world-us-canada-59167085,article,0
1770,BBC News,0,"In the past weeks, there have been fierce battles between members of the CJGN and vigilante groups in the state of Michoacán for control of the region west of the capital, Mexico City.",crime,2021-08-10T15:16:33+0000,https://www.bbc.com/news/world-latin-america-58153732,article,0
847,BBC News,0,There are still some restrictions in place in Northern Ireland:,corona,2021-08-17T13:55:48+0000,https://www.bbc.com/news/explainers-52646738,article,1
5916,Daily Mail,0,Nisleit said homeless people may have moved under the bridge to get out of the rain just before the car plowed through there.,crime,2021-03-15T17:21:14+0000,https://www.dailymail.co.uk/news/article-9364619/Multiple-people-injured-car-drove-group-pedestrians-San-Diego.html?ito=social-facebook,article,0
5144,Daily Mail,0,"Today, London mayor Sadiq Khan called violence against women and girls an 'epidemic' and called on men to be 'allies'.",crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,1
2347,BBC News,0,Extra police have joined the manhunt from the North Rhine-Westphalia region.,crime,2021-06-17T15:20:32+0000,https://www.bbc.com/news/world-europe-57510812,article,0
226,Metro,0,"Mark Woolhouse, a member of the Scientific Pandemic Influenza Group on Modelling (Spi-M) which advises the Government, said the measures would not make a ‘material difference’ as the variant is already ‘spreading pretty rapidly’.",corona,2021-12-06T06:46:00+0000,https://metro.co.uk/2021/12/06/covid-mask-wearing-and-other-new-rules-to-be-extended-into-the-new-year-15721377/?ito=facebook|social|metroukfacebook,article,1
204,Daily Mail,0,But yesterday he was released under investigation pending further inquiries.,crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,0
4717,BBC News,0,"""Wham!",corona,2021-03-03T00:24:31+0000,https://www.bbc.com/news/world-europe-56250456,article,1
7391,Daily Mail,0,"The neighbour explained: 'She was a nutcase, a fruit loop.",crime,2021-12-04T23:05:24+0000,https://www.dailymail.co.uk/news/article-10275829/Stepmother-tortured-killed-Arthur-Labinjo-Hughes-NEVER-mentioned-cellmate-says.html?ito=social-facebook,article,1
5336,BBC News,0,"The decision on Friday to approve the vaccine for emergency use was made by the WHO's technical advisory group, which reviewed the latest clinical data and manufacturing practices.",corona,2021-05-07T19:46:06+0000,https://www.bbc.com/news/world-asia-china-56967973,article,0
3845,Daily Mail,0,Wednesday September 22: Ms Nessa's cousin Zubel Ahmed says that her family is 'inconsolable' following their loss.,crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,1
6778,BBC News,0,Images posted on social media showed bullet-riddled police vehicles and bodies lying by the side of the road.,crime,2021-03-19T05:33:07+0000,https://www.bbc.com/news/world-latin-america-56452464,article,0
5776,Daily Mail,0,I hope the police can catch whoever committed this terrible crime.,crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,1
6038,Daily Mail,0,"I think it's probably realistic to think that the pace is going to be a little bit slower, especially as we try to move through hard to vaccinate populations next month,' Gottlieb said.",corona,2020-12-28T05:21:23+0000,https://www.dailymail.co.uk/news/article-9091917/Dr-Scott-Gottlieb-says-administering-20-million-COVID-vaccines-end-2020-unrealistic.html?ito=social-facebook,article,1
1647,BBC News,0,"Like at home, he was forced to stand in the hallway and when he failed to stand up straight, Hughes was heard bellowing at his son, threatening to put him six feet under and to rip his head off and use it as a football.",crime,2021-12-02T16:17:30+0000,https://www.bbc.com/news/uk-england-birmingham-59400890,article,0
7516,Metro,0,"As a community comes to terms with the killing of 28-year-old schoolteacher, a book of condolences has been opened in her memory.",crime,2021-09-25T16:24:00+0000,https://metro.co.uk/2021/09/25/sabina-nessa-murder-book-of-condolences-opened-in-memory-teacher-15316148/?ito=facebook|social|metroukfacebook,article,0
2863,BBC News,0,"They argued that their existing social-distancing measures made church attendance safe, German ARD news reported.",corona,2021-03-23T18:23:50+0000,https://www.bbc.com/news/world-europe-56486732,article,0
530,Sky News,0,"Giving nothing away, he said the government will ""wait and see"" what the Joint Biosecurity Centre recommends before announcing changes to the list.",corona,2021-06-03T13:47:00+0000,https://news.sky.com/story/covid-19-holiday-hopes-and-fears-as-green-list-review-to-be-released-12323695,article,0
2352,Daily Mail,0,"Sabina's date failed to notify police that she failed to make the rendez-vous, police have confirmed.",crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,0
5089,Sky News,0,"Met Police Commander Alison Heydari appealed to the public for information on the shooting, saying ""four black males in dark clothing"" fired a gun during a party in Peckham.",crime,2021-05-25T11:16:00+0000,https://news.sky.com/story/sasha-johnson-shooting-of-black-equal-rights-activist-by-group-of-men-not-targeted-attack-police-say-12316468,article,0
5642,BBC News,0,"Spain says it will allow British travellers back in from 30 March, easing a restriction in place since 22 December.",corona,2021-03-23T18:23:50+0000,https://www.bbc.com/news/world-europe-56486732,article,0
991,Daily Mail,0,"Officials recorded another 691 victims today, the highest daily toll since November 25 and up on the 506 recorded last Tuesday.",corona,2020-12-22T16:24:36+0000,https://www.dailymail.co.uk/news/article-9079493/Britains-daily-Covid-cases-DOUBLE-week-36-804-infections.html?ito=social-facebook,article,0
542,BBC News,0,Travel within the CTA is not considered international travel.,corona,2021-08-17T13:55:48+0000,https://www.bbc.com/news/explainers-52646738,article,0
1658,Daily Mail,0,"‘So I share the concern of President-Elect Biden that as we get into the next few weeks, it might actually get worse.’",corona,2020-12-28T05:21:23+0000,https://www.dailymail.co.uk/news/article-9091917/Dr-Scott-Gottlieb-says-administering-20-million-COVID-vaccines-end-2020-unrealistic.html?ito=social-facebook,article,1
3856,Daily Mail,0,"Last week, the new Omicron variant was sequenced in 77 cases in the region, and many fear it is the most infectious strain of the virus yet and that it could evade vaccine protection because of its high number of mutations.",corona,2021-11-29T20:24:17+0000,https://www.dailymail.co.uk/health/article-10255315/South-Africa-province-Omicron-variant-detected-sees-330-surge-hospitalizations.html?ito=social-facebook,article,0
4840,BBC News,0,"Most doses are going to poorer countries, but some have been sent to wealthier countries such as Canada, which defended its request.",corona,2021-09-23T16:58:15+0000,https://www.bbc.com/news/world-55795297,article,1
2077,BBC News,0,"Follow BBC West Midlands on Facebook, Twitter and Instagram.",crime,2021-12-02T16:17:30+0000,https://www.bbc.com/news/uk-england-birmingham-59400890,article,0
7547,Daily Mail,0,"Sabina Ness, Sarah Everard, Bibaa Henry, Nicole Smallman.",crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,0
3652,Daily Mail,0,"'They had to intubate her, and right before they intubated her, the last thing she said to me was, ""Mama, I don't want to die,""' Carr said.",corona,2021-09-23T19:27:23+0100,https://www.dailymail.co.uk/news/article-10022063/Woman-20-dies-COVID-Idaho-hospital.html?ito=social-facebook,article,1
1092,Metro,0,"She developed sepsis, had damage to her lungs and was taken off the ventilator.",corona,2021-09-16T23:30:00+0000,https://metro.co.uk/2021/09/16/fully-vaccinated-womans-obituary-blames-unvaccinated-people-for-death-15272095/?ito=facebook|social|metroukfacebook,article,0
3932,Sky News,0,"""From our enquiries so far, we have established that Sasha had been at a party at a house on Consort Road in Peckham early on Sunday morning,"" Cdr Heydari said.",crime,2021-05-25T11:16:00+0000,https://news.sky.com/story/sasha-johnson-shooting-of-black-equal-rights-activist-by-group-of-men-not-targeted-attack-police-say-12316468,article,0
7337,BBC News,0,"In contrast, the UK has managed to reduce its infection rate, attributing that to its tough lockdown and large-scale vaccinations.",corona,2021-03-23T18:23:50+0000,https://www.bbc.com/news/world-europe-56486732,article,0
1802,Daily Mail,0,"Not much is yet known about the variant, but what experts do know has them terrified.",corona,2021-11-29T20:24:17+0000,https://www.dailymail.co.uk/health/article-10255315/South-Africa-province-Omicron-variant-detected-sees-330-surge-hospitalizations.html?ito=social-facebook,article,1
1310,Daily Mail,0,"In addition to requiring that 100% of guests and crew are fully vaccinated, per the Company’s comprehensive health and safety protocols, we have implemented quarantine, isolation and contact tracing procedures for identified cases.",corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,0
4805,Daily Mail,0,Laundrie admits he 'pushed her' during the altercation.,crime,2021-09-27T00:31:56+0100,https://www.dailymail.co.uk/news/article-10031047/Utah-cops-told-Brian-Laundrie-hit-Gabby-Petito-pulling-couple-over.html?ito=social-facebook,article,0
3750,BBC News,0,"You just have to drink samogon,"" Anatoly insists, referring to home-distilled, high-strength alcohol.",corona,2021-03-03T00:24:31+0000,https://www.bbc.com/news/world-europe-56250456,article,1
1008,Metro,0,Carol was strangled and her neck broken in a case that featured in a BBC Crimewatch reconstruction later that year.,crime,2021-03-23T24:15:00+0000,https://metro.co.uk/2021/03/23/majority-of-unsolved-murders-across-uk-involve-female-victims-14286904/?ito=facebook|social|metroukfacebook,article,0
7354,BBC News,1,Harry Dunn: PM raises teenager's death with President Biden,crime,2021-06-10T21:24:48+0000,https://www.bbc.com/news/uk-england-northamptonshire-57436665,article,0
7743,Daily Mail,0,"Professor Sir John Bell, the scientist who led work on the vaccine at Oxford, yesterday described France's decision as 'completely crackers'.",corona,2021-03-20T22:01:11+0000,https://www.dailymail.co.uk/news/article-9384659/Merkel-Macron-set-illegal-EU-plan.html?ito=social-facebook,article,1
5569,Metro,0,We might have booster jabs by then.,corona,2021-06-08T09:48:00+0000,https://metro.co.uk/2021/06/08/richard-madeley-clashes-with-dr-hilary-again-over-lockdown-restrictions-14735113/?ito=facebook|social|metroukfacebook,article,1
3242,Metro,0,"The 18-year-old was last seen trying to thumb a lift as she returned from London to her home in Manchester before her body was found by a rural road in Knutsford, Cheshire.",crime,2021-03-23T24:15:00+0000,https://metro.co.uk/2021/03/23/majority-of-unsolved-murders-across-uk-involve-female-victims-14286904/?ito=facebook|social|metroukfacebook,article,0
700,BBC News,0,"""It is beyond understanding and astonishing that not one of the state agencies sufficiently considered the associated risk and therefore questioned the wisdom of sending Usman Khan unaccompanied to London,"" the family said in a statement.",crime,2021-05-28T16:52:39+0000,https://www.bbc.com/news/uk-england-london-57260509,article,1
7718,Daily Mail,0,"During his time with the famed 1985 Bears defense, Richardson was referred to as 'LA Mike' and even got his own solo in the notorious 'Super Bowl Shuffle' video.",crime,2020-12-31T16:53:08+0000,https://www.dailymail.co.uk/news/article-9102581/Former-Bears-star-Michael-Richardson-59-arrested-charged-second-degree-murder.html?ito=social-facebook,article,0
2932,Daily Mail,0,"'We have more tools, we have more knowledge to protect ourselves.'",corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,1
738,Sky News,0,"England's deputy chief medical officer Professor Jonathan Van-Tam said the ""number of mutations present, already on first principle, makes us worry about a possible effect on vaccine effectiveness"".",corona,2021-12-06T22:52:00+0000,https://news.sky.com/story/covid-19-community-transmission-of-omicron-variant-across-several-regions-of-england-says-sajid-javid-12488521,article,0
6806,Daily Mail,0,"Campaigner Anna Birley, who founded the Reclaim These Streets movement, said yesterday: 'We often get told when the worst happens that the murder of a woman by a stranger in a public place is very rare and we are very safe.",crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,1
2814,BBC News,0,"Pharmacist Ash Soni, who is on the English Pharmacy Board and leads a Covid-19 vaccination clinic in south London, said: ""We're definitely seeing cases where people are using the national booking form, who have lied on their booking form, and we're having to police that and that's not a nice place to be.",corona,2021-03-24T07:09:26+0000,https://www.bbc.com/news/uk-england-london-56428471,article,1
6017,Daily Mail,0,Several store employees hid in freezers and locked closets during the horror.,crime,2021-09-23T20:47:53+0100,https://www.dailymail.co.uk/news/article-10022601/Multiple-people-injured-mass-shooting-Kroger-store-Memphis.html?ito=social-facebook,article,0
2396,Daily Mail,0,Seasonal influenza mutates every year.,corona,2020-12-22T16:24:36+0000,https://www.dailymail.co.uk/news/article-9079493/Britains-daily-Covid-cases-DOUBLE-week-36-804-infections.html?ito=social-facebook,article,0
4049,Sky News,0,"Denmark, Norway and Iceland have suspended the use of the vaccine over reported clotting issues.",corona,2021-03-15T23:51:00+0000,https://news.sky.com/story/covid-19-germany-suspends-oxford-astrazeneca-coronavirus-vaccine-amid-blood-clot-concerns-12246936,article,0
5084,Daily Mail,0,"Italy has brought in tougher restrictions for unvaccinated people as the holidays draw near, excluding them from indoor restaurants, theatres and museums to reduce the spread of coronavirus and encourage vaccine skeptics to get their jabs.",corona,2021-12-06T09:41:25+0000,https://www.dailymail.co.uk/news/article-10279341/Italy-begins-lockdown-unvaccinated-double-jabbed-able-participate-public-life.html?ito=social-facebook,article,0
2419,BBC News,0,"The BBC has been told some centres are vaccinating people anyway, even if they do not have the proof, because they do not want to see valuable stock being wasted.",corona,2021-03-24T07:09:26+0000,https://www.bbc.com/news/uk-england-london-56428471,article,1
7484,Metro,0,Mr Jenkins added that whoever was responsible for all the attacks caused suffering to the animals themselves and emotional and financial trauma to owners.,crime,2021-06-22T18:28:00+0000,https://metro.co.uk/2021/06/22/man-who-stabbed-16-cats-in-brighton-was-finally-caught-on-cctv-court-hears-14813371/?ito=facebook|social|metroukfacebook,article,0
3609,Metro,0,"Ricardo wrote the book in just a few days, hired an illustrator, and three months later it was ready to go.",corona,2021-03-11T14:31:00+0000,https://metro.co.uk/2021/03/11/man-writes-kids-book-about-lockdown-in-fathers-memory-to-aid-nhs-14214957/?ito=facebook|social|metroukfacebook,article,0
7057,Daily Mail,0,"The position is also backed by Italy and Denmark, but opposed by the Netherlands, Belgium, Poland, Sweden and Ireland who fear the wider impact of a vaccine trade war.",corona,2021-03-20T22:01:11+0000,https://www.dailymail.co.uk/news/article-9384659/Merkel-Macron-set-illegal-EU-plan.html?ito=social-facebook,article,1
1160,Daily Mail,0,"Support for gay rights is increasingly widespread in Israel, where gay people serve openly in the military and parliament, but full equality has not yet been attained.",corona,2021-06-25T16:59:01+0100,https://www.dailymail.co.uk/news/article-9725863/Israel-reimposes-indoor-mask-rule-amid-surge-Covid-cases-despite-successful-vaccine-rollout.html?ito=social-facebook,article,0
1342,BBC News,0,"The decision to list the Chinese vaccine for emergency use is expected to give a substantial boost to the scheme, which has been struggling with supply problems.",corona,2021-05-07T19:46:06+0000,https://www.bbc.com/news/world-asia-china-56967973,article,1
3809,Daily Mail,0,"This includes looking at whether it produces the same antibody response, how it reacts to the vaccine, and modelling the new strain.",corona,2020-12-22T16:24:36+0000,https://www.dailymail.co.uk/news/article-9079493/Britains-daily-Covid-cases-DOUBLE-week-36-804-infections.html?ito=social-facebook,article,0
1506,Metro,0,"In Berkshire, a 13-year-old schoolboy was found dead after he got into difficultly swimming on Monday in the River Thames.",crime,2021-06-04T24:26:00+0000,https://metro.co.uk/2021/06/04/somercotes-toddler-dies-after-being-found-unresponsive-in-paddling-pool-14716019/?ito=facebook|social|metroukfacebook,article,0
1365,Daily Mail,0,It is not known which variant the new cases recorded were.,corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,0
3011,Sky News,0,"""People who are on treatment are well controlled - that would not be a problem.",corona,2021-11-29T09:04:00+0000,https://news.sky.com/story/covid-19-emergence-of-omicron-variant-could-be-down-to-reservoirs-of-virus-in-the-unvaccinated-and-immunosuppressed-12481188,article,1
1771,Daily Mail,0,'I don't feel safe living here now.',crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,1
4279,BBC News,0,"The killings took place in Nairobi, and areas of eastern and western Kenya.",crime,2021-10-15T13:09:37+0000,https://www.bbc.com/news/world-africa-58923592,article,0
4130,Sky News,0,Derbyshire Constabulary said detectives are not looking for anyone else in connection with the deaths.,crime,2021-06-19T23:13:00+0000,https://news.sky.com/story/bodies-of-man-and-woman-found-in-fields-near-derbyshire-village-12336545,article,0
3192,Daily Mail,0,"Sharing Omicron figures from the Steve Biko/Tshwane District Hospital Complex, she tweeted: 'Most COVID-19 patients didn't know they had COVID when they got admitted (they were admitted for another condition).'",corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,0
6469,Daily Mail,0,"Four of Wednesday's eight cases are residents of the northern area of the Northern Beaches, with the others residing outside the Northern Beaches.",corona,2020-12-23T00:01:52+0000,https://www.dailymail.co.uk/news/article-9080871/New-South-Wales-records-eight-cases-Covid-19.html,article,0
6053,Sky News,0,Those taking part in the day of action are urged to take the message to their MP.,corona,2021-06-20T21:59:00+0000,https://news.sky.com/story/covid-19-pilots-criticise-ludicrously-cautious-travel-rules-and-claim-uk-aviation-sector-is-now-hardest-hit-in-europe-12336758,article,0
240,Metro,0,‘The sad reality is that in many instances the police have already carried out reviews and don’t feel there is sufficient evidence to take the case further forward.,crime,2021-03-23T24:15:00+0000,https://metro.co.uk/2021/03/23/majority-of-unsolved-murders-across-uk-involve-female-victims-14286904/?ito=facebook|social|metroukfacebook,article,1
6564,Sky News,0,"On the day of the shooting, a teacher had found a note on Ethan's desk with a drawing of a gun pointing at the words ""the thoughts won't stop.",crime,2021-12-04T16:28:00+0000,https://news.sky.com/story/parents-of-michigan-school-shooting-suspect-ethan-crumbley-deny-charges-of-involuntary-manslaughter-12486326,article,0
2042,Daily Mail,0,"'She was proud to be a Marine, and she was proud of what she was doing in Afghanistan,' Gee's sister, Misty Fuoco, 25, told the newspaper.",crime,2021-09-17T10:53:44+0100,https://www.dailymail.co.uk/news/article-10000887/US-marine-Nicole-Gee-honored-community-procession-ahead-funeral-Sacramento.html?ito=social-facebook,article,1
2965,Metro,0,"‘That is why we need to be a little more patient, get everybody vaccinated and then we can start thinking about lifting restrictions.",corona,2021-06-08T09:48:00+0000,https://metro.co.uk/2021/06/08/richard-madeley-clashes-with-dr-hilary-again-over-lockdown-restrictions-14735113/?ito=facebook|social|metroukfacebook,article,1
7272,BBC News,1,Ahmaud Arbery: Nearly all-white jury chosen in black jogger murder trial,crime,2021-11-05T00:03:50+0000,https://www.bbc.com/news/world-us-canada-59167085,article,0
3423,Sky News,0,Mr Shapps said the remaining seven countries on the red list were being removed as the UK's chief medical officers had advised there were no longer concerns about COVID variants in those countries.,corona,2021-10-28T18:11:00+0000,https://news.sky.com/story/covid-19-all-countries-to-be-removed-from-governments-travel-red-list-12453412,article,0
6153,Daily Mail,0,"Despite rising concerns, Murthy said that we are more prepared as compared to the beginning stages of the virus.",corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,1
1411,Daily Mail,0,When we were at her house the other day the cats were looking for her.,crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,0
1497,BBC News,0,The Northern Ireland Executive is due to discuss easing remaining restrictions at its next meeting on 1 September.,corona,2021-08-17T13:55:48+0000,https://www.bbc.com/news/explainers-52646738,article,0
4708,Daily Mail,0,Lane said the department received a report of an active shooter at 1:30pm.,crime,2021-09-23T20:47:53+0100,https://www.dailymail.co.uk/news/article-10022601/Multiple-people-injured-mass-shooting-Kroger-store-Memphis.html?ito=social-facebook,article,0
1553,Metro,1,Calls for CCTV in all London bus stops after Sarah Everard killing,crime,2021-03-18T17:48:00+0000,https://metro.co.uk/2021/03/18/calls-for-cctv-in-all-london-bus-stops-after-sarah-everard-killing-14268093/?ito=facebook|social|metroukfacebook,article,0
1655,Daily Mail,0,"Because genetic sequencing is only performed on a small percentage of positive tests, experts can not say which people have Omicron versus another strain.",corona,2021-11-29T20:24:17+0000,https://www.dailymail.co.uk/health/article-10255315/South-Africa-province-Omicron-variant-detected-sees-330-surge-hospitalizations.html?ito=social-facebook,article,0
2360,Daily Mail,0,The extraordinary development came as the EU faced criticism over the glacial speed of its vaccination programme and many of its members were plunged into fresh lockdowns as Covid-19 cases soared.,corona,2021-03-20T22:01:11+0000,https://www.dailymail.co.uk/news/article-9384659/Merkel-Macron-set-illegal-EU-plan.html?ito=social-facebook,article,0
2553,BBC News,0,"She added: ""I'm sure the Israeli authorities will cooperate to bring him back"".",crime,2021-09-13T15:56:51+0000,https://www.bbc.com/news/world-europe-58541644,article,1
2786,BBC News,0,"""We will proceed with caution.",corona,2021-03-23T18:23:50+0000,https://www.bbc.com/news/world-europe-56486732,article,1
691,Sky News,0,"He added: ""And there's a strong indication that Omicron is present there.",corona,2021-12-06T22:52:00+0000,https://news.sky.com/story/covid-19-community-transmission-of-omicron-variant-across-several-regions-of-england-says-sajid-javid-12488521,article,1
5969,Daily Mail,0,"Officers were said to be investigating the footage taken near the 28-year-old's home in Kidbrooke, southeast London, last Friday evening.",crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,0
1145,Metro,0,"When Rafael suggested selling his drawings outside a tube station with his dad, Ricardo had the idea to write the picture book in aid of the NHS.",corona,2021-03-11T14:31:00+0000,https://metro.co.uk/2021/03/11/man-writes-kids-book-about-lockdown-in-fathers-memory-to-aid-nhs-14214957/?ito=facebook|social|metroukfacebook,article,0
5973,Daily Mail,0,"He said of little Arthur: 'He was a healthy, happy young boy.",crime,2021-12-04T23:05:24+0000,https://www.dailymail.co.uk/news/article-10275829/Stepmother-tortured-killed-Arthur-Labinjo-Hughes-NEVER-mentioned-cellmate-says.html?ito=social-facebook,article,1
194,Metro,0,"‘The overall scale of unsolved murders is phenomenal, particularly in the seventies and eighties where technology wasn’t what it is today, and those cases are unlikely to be solved.",crime,2021-03-23T24:15:00+0000,https://metro.co.uk/2021/03/23/majority-of-unsolved-murders-across-uk-involve-female-victims-14286904/?ito=facebook|social|metroukfacebook,article,1
328,Daily Mail,0,"'This could have been prevented,' wrote another.",corona,2021-12-03T18:55:47+0000,https://www.dailymail.co.uk/tvshowbiz/article-10272679/Americas-Got-Talent-musician-Jay-Jay-Phillips-dead-30-COVID-19.html?ito=social-facebook,article,1
6343,Daily Mail,0,"There were 44 employees inside the grocery store at the time, Collierville Police Chief Dale Lane said in a news conference Thursday night.",crime,2021-09-23T20:47:53+0100,https://www.dailymail.co.uk/news/article-10022601/Multiple-people-injured-mass-shooting-Kroger-store-Memphis.html?ito=social-facebook,article,0
4711,Daily Mail,0,'This is a false economy where in this case a child paid with his life.,crime,2021-12-06T07:56:33+0000,https://www.dailymail.co.uk/news/article-10279255/Arthur-Labinjo-Hughes-stepmother-Emma-Tustin-poisoned-SALT-prison.html?ito=social-facebook,article,1
4377,BBC News,0,People may also need booster doses to remain protected.,corona,2021-09-23T16:58:15+0000,https://www.bbc.com/news/world-55795297,article,0
293,BBC News,0,"Still, Russia now has so many requests for Sputnik the Kremlin says it cannot handle them all with current production capacity.",corona,2021-03-03T00:24:31+0000,https://www.bbc.com/news/world-europe-56250456,article,0
1868,Daily Mail,0,"Tustin and her ex-partner Thomas Hughes inflicted a 'cruel and systematic campaign of cruelty' against his son, which included forcing Arthur to stand for up to 14-hours a day alone, depriving him of food and water and poisoning him with salt.",crime,2021-12-04T23:05:24+0000,https://www.dailymail.co.uk/news/article-10275829/Stepmother-tortured-killed-Arthur-Labinjo-Hughes-NEVER-mentioned-cellmate-says.html?ito=social-facebook,article,0
7726,Metro,0,"Some provided it in great detail, others less so, but the amount of unsolved murders is absolutely shocking.",crime,2021-03-23T24:15:00+0000,https://metro.co.uk/2021/03/23/majority-of-unsolved-murders-across-uk-involve-female-victims-14286904/?ito=facebook|social|metroukfacebook,article,1
